Receiver_account,Duration,Date,Time,Total_amount,Sender_account,Sender_count,Payment_currency,Received_currency,Amount,Laundering_type,Payment_type
9351462,23 hours,2022-12-24,00:04:49,2545992.7300000004,2498400730,20,UK pounds,UK pounds,16091.12,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,00:06:27,2545992.7300000004,8052804763,20,UK pounds,UK pounds,5480.34,Normal_Fan_In,Debit card
9351462,23 hours,2022-12-24,00:11:42,2545992.7300000004,4414485295,20,UK pounds,UK pounds,13483.96,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,00:39:33,2545992.7300000004,5932010431,20,UK pounds,UK pounds,5260.99,Normal_Fan_In,Debit card
9351462,23 hours,2022-12-24,00:56:13,2545992.7300000004,4967770332,20,UK pounds,UK pounds,9859.21,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,01:08:45,2545992.7300000004,2409980465,20,UK pounds,UK pounds,7383.1,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,01:57:06,2545992.7300000004,4792937709,20,UK pounds,UK pounds,9319.18,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,02:25:39,2545992.7300000004,4967770332,20,UK pounds,UK pounds,9810.71,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,02:36:19,2545992.7300000004,5572876849,20,UK pounds,UK pounds,15873.18,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,02:38:30,2545992.7300000004,8052804763,20,UK pounds,UK pounds,5500.52,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,02:52:11,2545992.7300000004,1549526085,20,UK pounds,UK pounds,7287.15,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,02:54:51,2545992.7300000004,8052804763,20,UK pounds,UK pounds,5505.19,Normal_Fan_In,Debit card
9351462,23 hours,2022-12-24,03:04:42,2545992.7300000004,4246662398,20,UK pounds,UK pounds,22874.23,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,03:07:08,2545992.7300000004,5453663705,20,UK pounds,UK pounds,13908.54,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,03:34:29,2545992.7300000004,2498400730,20,UK pounds,UK pounds,16154.9,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,03:42:28,2545992.7300000004,1971173549,20,UK pounds,UK pounds,8973.77,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,04:02:56,2545992.7300000004,1549526085,20,UK pounds,UK pounds,7294.14,Normal_Fan_In,Debit card
9351462,23 hours,2022-12-24,04:58:38,2545992.7300000004,5587191545,20,UK pounds,UK pounds,7764.55,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,05:54:15,2545992.7300000004,5932010431,20,UK pounds,UK pounds,5283.35,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,06:28:29,2545992.7300000004,3989115942,20,UK pounds,UK pounds,15126.11,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,06:34:06,2545992.7300000004,5587191545,20,UK pounds,UK pounds,7806.75,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,07:14:53,2545992.7300000004,3989115942,20,UK pounds,UK pounds,15342.19,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,07:23:56,2545992.7300000004,3750062673,20,UK pounds,UK pounds,6746.54,Normal_Fan_In,Credit card
9351462,23 hours,2022-12-24,07:43:10,2545992.7300000004,3241445262,20,UK pounds,UK pounds,7895.85,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,07:51:17,2545992.7300000004,4967770332,20,UK pounds,UK pounds,9924.25,Normal_Fan_In,Debit card
9351462,23 hours,2022-12-24,08:00:31,2545992.7300000004,2853972850,20,UK pounds,UK pounds,6909.22,Normal_Fan_In,ACH
9351462,23 hours,2022-12-24,08:05:39,2545992.7300000004,4792937709,20,UK pounds,UK pounds,9405.49,Normal_Fan_In,Cheque
9351462,23 hours,2022-12-24,08:12:31,2545992.7300000004,8052804763,20,UK pounds,UK pounds,5403.07,Normal_Fan_In,Debit card
